Tarefa,categoria,cliente,descrição,Legenda,prazo,Dia,Hora,prioridade,responsável,status,Inspiração,Link entrega
"ESTÁTICO 01: O Meme do ""Lucro""",Estático,LTV,"Visual: Tela dividida. Topo: Foto de uma pessoa rindo, com o texto ""Meu concorrente dando 30% de desconto"". Base: Foto de alguém tenso/suando, com o texto ""Eu sabendo que se der 10% eu empato o custo.""
Legenda: A matemática não falha. Quem não importa direto da fonte, não tem margem para brincar. Pare de sofrer na guerra de preços e venha estruturar a sua importação com a inteligência logística da LTV. 🌍💼
",,23/04/2026,,,Media,Viviane,Finalizado,,https://drive.google.com/file/d/1JZ9jlmRKgTrMPDAyfmLAKwRK9Bacrg2v/view?usp=drive_link
"ESTÁTICO 02: Meme Corporativo (A Cascata de Impostos)
",Estático,Comexblog,"Visual: Meme clássico do cara andando com a namorada olhando para outra. (Ou layout limpo corporativo com a mesma dinâmica).
Texto na Arte:
Namorada atual (sendo ignorada): ""Lucro esperado da importação.""
Cara olhando: ""Importador iniciante.""
Outra mulher passando (em vermelho): ""Capatazia, AFRMM, Taxa do Despachante, IPI, PIS, COFINS e ICMS.""
Legenda: Expectativa: ""Comprei por 1 dólar, vou vender por 5 e ficar rico!"" 🤑 Realidade: Sendo atropelado pela cascata de impostos e taxas portuárias brasileiras antes mesmo de ver a cor do produto. Nunca faça uma estimativa de custos no ""achismo"". Calcule o Landed Cost! \n\n😂 Quem nunca tomou um susto na primeira simulação de custos que atire o primeiro contêiner!
",,23/04/2026,,,Media,Viviane,Finalizado,,https://drive.google.com/file/d/1NuD8TvgASnViRESiL1zbO-noT8qppHaI/view?usp=drive_link
Roteiro,Social,HDG,Roterizar posts Organicos,,27/04/2026,,,Media,Junior,Finalizado,,
"ESTÁTICO 03: Frase de Impacto (Mindset de Câmbio)",Estático,Comexblog,"Visual: Fundo escuro com textura de aço ou painel de pregão da bolsa. Tipografia forte em branco e verde.
Texto na Arte: ""Quem não trava o câmbio na importação, trabalha de graça para a oscilação do dólar.""
Legenda: Fechou a compra com o dólar a R$ 4,90 e só foi pagar quando a carga chegou no Brasil com o dólar a R$ 5,30? Parabéns, a variação cambial acabou de engolir 100% da sua margem de lucro. 📉 Ter uma estratégia de Hedge Cambial e travamento de câmbio é obrigação de quem quer sobreviver no mercado global. \n\n💵 Como sua empresa se protege das oscilações do dólar hoje?
",,27/04/2026,,,Baixa,Viviane,Finalizado,,
"ESTÁTICO 03: Alerta de Custo
",Estático,LTV,"Visual: Estilo notificação de celular na tela de bloqueio.
Texto na Arte: ⚠️ Lembrete: O seu distribuidor local também importa da China. Você só está pagando a logística e o lucro dele.
Legenda: Já parou para pensar que quase tudo que você compra para revender vem da Ásia? A única diferença entre você e o seu fornecedor atual é a coragem de estruturar uma operação própria. A LTV viabiliza isso para você através da Carga Compartilhada. Dê o primeiro passo.
",,27/04/2026,,,Baixa,Viviane,Finalizado,,
CARROSSEL 04: Tirador de Pedido vs. Parceiro Estratégico,carrossel,LTV,"Slide 1 (Capa): [Texto grande] Despachante Tradicional vs. LTV: Entenda a diferença. [Visual: Tabela comparativa limpa e corporativa]
Slide 2: [Texto] O Despachante Tradicional: Foca apenas em burocracia. Espera você mandar os documentos. Registra a DI. Só te avisa quando dá problema. É um ""tirador de pedidos"".
Slide 3: [Texto] O Modelo LTV: Visão de Negócio. Mapeamos os custos antes de você comprar. Coordenamos a coleta na fábrica chinesa. Consolidamos a carga para baratear o frete. E fazemos o despacho com compliance absoluto.
Slide 4: [Texto] A diferença na prática: O tradicional vê sua carga como um papel a ser carimbado. Nós vemos sua carga como o fluxo de caixa e o futuro da sua empresa.
Slide 5: [Texto] Se você quer improviso, o mercado está cheio de opções. Se você quer previsibilidade, engenharia logística e proteção de margem...
Slide 6 (Último/CTA): [Texto] Você precisa conhecer a LTV. Acesse o link na nossa bio. 🛡️
Legenda: Burocracia qualquer um faz. O que dita o sucesso de uma importação é o planejamento pré-embarque e a inteligência logística aplicada. A LTV nasceu para ser o cérebro da sua operação internacional.
",,27/04/2026,,,Media,Viviane,Finalizado,,
Thumb Badico,Thumb,Badico,,,27/04/2026,,,Baixa,Junior,Finalizado,,
Captação,Video,Cabral,Captação rapida na parte frontal da loja nova,,27/04/2026,,,Baixa,Junior,Finalizado,,
"CARROSSEL 04: Drawback (O Dinheiro Deixado na Mesa)
",carrossel,Comexblog,"Slide 1 (Capa): [Texto grande] Drawback: O Dinheiro que a sua Indústria está deixando na mesa. [Visual: Pilha de dinheiro sendo ignorada ou aspirada]
Slide 2: [Texto] O que é? O Drawback é o regime aduaneiro especial mais poderoso do Brasil. Ele elimina ou suspende os impostos de importação de insumos que serão usados para fabricar um produto tipo exportação.
Slide 3: [Texto] A Regra Básica: Você importa matéria-prima ➡️ Industrializa no Brasil ➡️ Exporta o produto final.
Slide 4: [Texto] O Impacto Direto: Você zera II, IPI, PIS, COFINS e, dependendo do estado, o ICMS na compra dos insumos internacionais. O custo de produção da sua fábrica despenca, tornando seu produto hipercompetitivo no exterior.
Slide 5: [Texto] O Erro das Médias Empresas: Muitas acham que o Drawback é só para gigantes como Vale ou Embraer. Mentira! Pequenas e médias indústrias estão perdendo dinheiro por falta de assessoria tributária adequada.
Slide 6 (Último/CTA): [Texto] Sua fábrica exporta o que produz? Salve este post e vá conversar com a sua contabilidade! 🏭
Legenda: Se a sua indústria importa matéria-prima e exporta o produto finalizado sem usar o regime de Drawback, vocês estão literalmente rasgando dinheiro. 📉 A suspensão de impostos pode reduzir o custo de produção em mais de 30%. É o diferencial entre fechar um grande contrato no exterior ou perder para a concorrência asiática. \n\n⚙️ A sua empresa já utiliza algum regime especial aduaneiro?
",,27/04/2026,,,Media,Viviane,Finalizado,,
Por que o Blackwork é Diferente?,carrossel,Mineiro,"📄 1. CAPA
📸 CAPA: Foto trabalho preto sólido. Texto: '3 coisas que você não sabia sobre o Blackwork.'
📄 2. Slide 2
🎯 DURABILIDADE: O pigmento preto é o que melhor resiste ao sol e ao tempo, mantendo o desenho nítido por anos.
📄 3. Slide 3
🎨 CONTRASTE: Trabalhamos a anatomia do seu corpo usando o contraste da pele com a tinta, criando impacto visual único.
📄 4. Slide 4
🖌️ VERSATILIDADE: Do minimalista ao projeto de fechamento, o Blackwork se adapta a qualquer ideia.
📄 5. CTA
📢 CTA: Qual sua próxima ideia no estilo Blackwork? Me conta lá no WhatsApp (Link na Bio).",,27/04/2026,,,Media,Junior,Finalizado,,
CARROSSEL 05: As 3 Fases do Empresário,carrossel,LTV,"Slide 1 (Capa): [Texto grande] Em qual destas 3 fases está a sua empresa? [Visual: Degraus de uma escada apontando para cima]
Slide 2: [Texto] Fase 1: O Refém. Compra exclusivamente de atacadistas no Brasil. Tem a menor margem de lucro do mercado e sofre quando o fornecedor fica sem estoque.
Slide 3: [Texto] Fase 2: O Aventureiro. Tenta importar sozinho, usando plataformas de varejo disfarçadas de atacado. Cai em armadilhas de frete caro, não faz compliance e toma multas da Receita Federal.
Slide 4: [Texto] Fase 3: O Estrategista (Padrão LTV). Entende que o coração do negócio é o fornecimento. Contrata a LTV para estruturar cargas compartilhadas, importar direto das fábricas e blindar a operação.
Slide 5: [Texto] Apenas as empresas da Fase 3 sobrevivem a longo prazo e ditam as regras de preço no Brasil.
Slide 6 (Último/CTA): [Texto] Pronto para subir de nível? A LTV te leva para a Fase 3. Link na bio! 🚀
Legenda: O crescimento da sua empresa tem um teto, e esse teto é o seu custo de aquisição. Profissionalizar a sua cadeia de suprimentos é o único caminho para a expansão sustentável.
",,28/04/2026,,,Baixa,Viviane,Finalizado,,
"CARROSSEL 05: Anatomia de uma Multa Aduaneira
",carrossel,Comexblog,"Slide 1 (Capa): [Texto grande] Anatomia de uma Multa Aduaneira. [Subtítulo] Como um erro de digitação pode destruir seu lucro. [Visual: Lupa sobre um documento com a palavra ""MULTA"" em carimbo vermelho]
Slide 2: [Texto] A Receita Federal não interpreta intenção, ela cruza dados. Um simples erro no preenchimento da DI/DUIMP não é ""só corrigir"", é infração.
Slide 3: [Texto] Erro de NCM (Classificação Fiscal): O clássico. Errar a NCM significa declarar o imposto errado. A multa é de 1% sobre o Valor Aduaneiro da carga, mais a diferença do imposto não pago, mais multa de ofício de 75%.
Slide 4: [Texto] Divergência de Peso: O Packing List diz que a carga pesa 5.000 kg. A balança do porto pesa 5.200 kg. Multa! Toda variação além da tolerância é penalizada.
Slide 5: [Texto] Falta de LI (Licença de Importação): Emitir a LI depois que a carga já embarcou na origem? Prepare-se para uma multa de 30% sobre o Valor Aduaneiro (com limite reduzido, mas ainda doloroso).
Slide 6 (Último/CTA): [Texto] No Comex, a pressa é inimiga do lucro. Revise todos os documentos três vezes! Salve como lembrete. 📌
Legenda: Errar é humano, mas no Siscomex, errar custa caro. 💸 Um erro de classificação fiscal ou uma omissão de peso no Packing List geram multas pesadas que saem direto da sua margem de lucro. A conferência documental antes do embarque é a fase mais crítica da importação. Deslize e veja os erros que mais geram multas na Receita Federal. \n\n📑 Qual foi a multa mais absurda que você já viu acontecer numa operação?
",,28/04/2026,,,Baixa,Viviane,Finalizado,,
Save the date,Estático,HDG,"faça um resumo 

Rooftop CDL - R. Guilherme Faria, 53 - Centro de Vila Velha, Vila Velha - ES, 29100-270
data 27/05
horario 9:00

palestrantes
Augusto Mansur e Bruno Aguilar",,28/04/2026,,,Media,Junior,Finalizado,,
"ESTÁTICO 04: O Gráfico da Realidade
",Estático,LTV,"Visual: Gráfico de barras simples com a identidade da LTV.
Texto na Arte:
Barra 1 (Comprando no Brasil): 40% Custo Produto / 50% Lucro do Atacadista / 10% Seu Lucro.
Barra 2 (Importando via LTV): 30% Custo Produto / 20% Logística e Tributos / 50% Seu Lucro.
Legenda: A engenharia logística inverte o jogo da lucratividade. Nós existimos para que você fique com a maior fatia desse gráfico. Conheça a operação ponta a ponta da LTV.
",,29/04/2026,,,Baixa,Viviane,Finalizado,,
"ESTÁTICO 04: Infográfico Rápido (Sopa de Letrinhas)
",Estático,Comexblog,"Visual: Três blocos visuais lado a lado (ou empilhados) com ícones simples (Navio, Avião, Caminhão).
Texto na Arte: A Sopa de Letrinhas do Conhecimento de Carga:
🚢 BL (Bill of Lading): Para frete Marítimo.
✈️ AWB (Air Waybill): Para frete Aéreo.
🚛 CRT (Conhecimento de Transporte): Para frete Rodoviário Internacional.
Legenda: Básico que salva vidas! O Conhecimento de Transporte é o documento mais importante da logística, pois ele é o recibo de entrega e o título de propriedade da carga. Saber qual sigla cobrar do seu agente de cargas é o primeiro passo para não se perder na papelada. 📄 \n\n📌 Salve esse post rápido para não esquecer as siglas do transporte internacional!
",,29/04/2026,,,Baixa,Viviane,Finalizado,,
"ESTÁTICO 05: Check-list do Crescimento
",Estático,LTV,"Visual: Layout limpo com caixas de seleção.
Texto na Arte: 3 Sinais de que você PRECISA importar:
[ ] Seu fornecedor nacional é também seu concorrente.
[ ] Você tem giro rápido, mas sobra pouco no fim do mês.
[ ] Você quer lançar produtos com a SUA marca (White Label).
Legenda: Se você marcou pelo menos um desses itens, o modelo tradicional já não te atende mais. É hora de acessar os fabricantes globais com a segurança e a estrutura do método LTV.
",,30/04/2026,,,Baixa,Viviane,Finalizado,,
"ESTÁTICO 05: Meme Corporativo 2 (A Cobrança do Cliente)
",Estático,Comexblog,"Visual: O clássico meme do cachorro no meio da sala pegando fogo (This is fine), mas adaptado.
Texto na Arte:
O cliente no WhatsApp: ""Bom dia! Minha carga chega amanhã certinho, né?""
Eu sabendo que o navio omitiu o porto, o frete subiu, o sistema do porto caiu e a carga rolou para a próxima semana.
Legenda: A vida do profissional de Comex é ser analista, solucionador de crises e psicólogo de cliente tudo ao mesmo tempo! 😅 Quando o navio rola a carga (roll over) ou omite porto por causa de mau tempo, sobra pra gente dar a notícia ruim. Haja café e paciência! \n\n👇 Marca aqui o seu colega que passa por esse sufoco com você toda semana!
",,30/04/2026,,,Baixa,Viviane,Finalizado,,
Mitos da Cicatrização,carrossel,Mineiro,"📄 1. CAPA
📸 CAPA: Foto de luva e máscara. Texto: 'O que NÃO te contaram sobre cuidar da sua tattoo nova.'
📄 2. Slide 2
❌ MITO: 'Tem que passar pomada o tempo todo'. ✅ VERDADE: O excesso de pomada sufoca a pele. Camada fina e hidratação moderada.
📄 3. Slide 3
❌ MITO: 'Pode pegar sol se passar protetor'. ✅ VERDADE: Sol direto nos primeiros 15 dias é o maior inimigo do seu pigmento!
📄 4. Slide 4
💡 DICA DO MINEIRO: Água gelada no banho ajuda a tirar o 'ardido' dos primeiros dias e acalma a pele.
📄 5. CTA
📢 CTA: Ficou com dúvida sobre como cuidar do seu projeto? Manda um Zap (Link na Bio).",,04/05/2026,,,Media,Junior,Finalizado,,
Folga,Estático,Aline,Eu vou pro Rio dia 7 e volto dia 14. Vcs acham legal fazer uma arte pra avisar que compras feitas nesse período serão entregues a partir do dia 15?,,04/05/2026,,,alta,Viviane,Finalizado,,
Arte,Estático,HDG,"notificação para o hedge partners: Também estou à frente do Hedge Partner, uma apresentação quinzenal voltada para parceiros, colaboradores e demais envolvidos.

Gostaria de contar com a sua ajuda: a cada quinzena, um colaborador da Hedge fará uma apresentação às 16h, sempre às quintas-feiras.

Nesta quinta-feira, dia 30/04, teremos Fillipe Fernando.
No dia 06/05, será a vez de Heide Hisching.
E no dia 20/05, teremos Fernando Ferreira.",,04/05/2026,,,Media,Junior,Finalizado,,
Passeios do mês,carrossel,Hip,,,04/05/2026,,,alta,Viviane,Finalizado,,
O despachante não pilota o navio.,Social,Comexblog,"### 🚢 ESTÁTICO COMEXBLOG (Foco: Engajamento rápido e a dor da segunda-feira)
**Visual:** Fundo escuro (preto ou azul marinho), textura leve e texto centralizado e garrafal. Se quiser, um ícone de ""palhaço"" ou ""navio"" no rodapé.

**Texto na Arte:**
O despachante não pilota o navio.
O despachante não controla o clima.
E o despachante definitivamente não controla o humor do fiscal da Receita Federal na segunda-feira.

**Legenda:**
Segundou daquele jeito! 🤡 Bom dia pra quem já abriu o WhatsApp às 08h tendo que explicar pro cliente que a gente opera logística internacional e compliance, e não feitiçaria pra atracar navio na força do ódio. 

A semana só começou e o Siscomex já tá testando a nossa fé. Quem aí já teve que mandar um áudio de 3 minutos hoje pra acalmar cliente emocionado? Que os deuses do Canal Verde estejam com a gente nessa semana! 🟢🚢

",,04/05/2026,,,alta,Viviane,Finalizado,,
O seu fornecedor nacional torce todos os dias para que você continue achando que importar é muito difícil.,Social,LTV,"### 🏛️ ESTÁTICO LTV (Foco: Ragebait ToFu, Cutucada no Empresário)
**Visual:** Fundo limpo (preto ou o tom escuro da LTV), texto gigante na cor branca e um destaque na cor principal da marca. 

**Texto na Arte:**
O seu fornecedor nacional torce todos os dias para que você continue achando que importar é muito difícil.

**Legenda:**
Porque no exato minuto em que você descobrir que pode importar a mesma mercadoria, colocando até mesmo uma única caixa de papelão em um contêiner compartilhado para pagar 1/3 do preço... a margem de lucro dele acaba. 💸

O medo e a desinformação sobre importação são o modelo de negócios de quem te vende produto no Brás e em grandes distribuidoras. Você vai passar o resto do ano financiando o estoque dos outros ou vai tomar o controle da sua cadeia de suprimentos? 

Acesso o link da nossa bio e descubra como a Carga Compartilhada coloca a sua empresa direto na fonte. 🚀",,04/05/2026,,,alta,Viviane,Finalizado,,
Criar Roteiros,Roteiro,Comexblog,,,05/05/2026,,,Media,Junior,Finalizado,,
sinal do universo faça seu diagnostico tributário,Captação,HDG,,,05/05/2026,,,alta,Junior,Finalizado,,
emitir notas fiscais,Operacional,Gasmaske,,,05/05/2026,,,alta,Junior,Finalizado,,
Criar Roteiros,Roteiro,LTV,,,05/05/2026,,,Media,Junior,Finalizado,,
o que acontece com seus créditos acumulados de ppis e confins,Captação,HDG,,,05/05/2026,,,alta,Junior,Finalizado,,
Orçamento,Operacional,Full Gaz,Criar orçamento para desenvolvimento de marca ,,05/05/2026,,,Baixa,Junior,Finalizado,,
Thumb Badico,Thumb,Badico,,,06/05/2026,,,alta,Junior,Finalizado,,
Folder Simples,Estático,HDG,Folder hospitalar,,06/05/2026,,,Baixa,Junior,Finalizado,,
Folder Simples,Estático,HDG,"Folder Simples igual o do pessoal de vendas:Escopo

Auditoria das operações fiscais;
Revisão das obrigações acessórias;
Recuperação de créditos fiscais;
Gestão de riscos tributários;
Planejamento tributário e societário;
Análise da escrita contábil;
Revisão de enquadramentos da Folha de Pagamento de acordo com a convenção coletiva;Perfil de clientes

É um produto que pode ser aplicado a qualquer CNPJ que não seja MEI.

Mas, o público ideal, que tende a ter maior recuperabilidade de crédito, entendo que seria:

- Bares, restaurantes, lanchonetes;
- Farmácias e perfumarias;
- Comércios varejistas alimentícios em geral;

*quanto maior a variedade de produtos vendidos, maior a oporutnidade de créditos  Metodologia e precificação

Precisamos da procuração federal e arquivos xml dos últimos 60 meses e um questionário básico e rápido - podemos criar no google forms

Pra precificar entendo que podemos cobrar um valor de fee inicial menor e 30% de honorários sobre o ganho

Aí o valor pago no fee pode ser descontado dos 30% devidos sobre o ganho, se esse valor ultrapassar

Acho que assim fica legal pq se a empresa tiver crédito, fica praticamente de graça o trabalho, e se nao tiver, fica pelo preço do fee  ",,06/05/2026,,,Baixa,Junior,Finalizado,,
Dentista,Pessoal,Pessoal,Endereço: AV RUY BRAGA RIBEIRO Bairro: SANTA INES CEP: 29108-041 Cidade: VILA VELHA UF: ES Telefones: (27)998070944 Dr. THULIO ESPOSITO VICENTE,,06/05/2026,,09:00:00,alta,Viviane,Finalizado,,
Video Barbeira,Video,Cabral,edição,,06/05/2026,,,alta,Junior,Finalizado,,
1 - Dia das mães,Video,Aline,"Narração Aline: Dizem que quando nasce uma mãe, o coração passa a bater fora do peito.
Em 2025, a vida me entregou a minha maior transformação. A Nina chegou e me ensinou que o amor não tem limites...
Ao viver o meu primeiro ano como mãe, eu passei a enxergar todas as outras mães de um jeito diferente.
Eu entendi o peso e a beleza das madrugadas em claro. A força que a gente tira de onde não tem. As inseguranças e as culpas que a gente carrega em silêncio...
...e que o cuidado é a forma mais bonita de amar. Foi desse amor, maduro e profundo, que nasceu a Nina Baby Store.
Por trás de cada produto enviado, de cada mãezinha que cruza o meu caminho, eu sei que existe uma mulher dando o seu máximo, sendo o mundo inteiro de alguém.
Hoje quero celebrar a coragem, a doçura e a força de quem doa a própria vida todos os dias. Feliz Dia das Mães, para todos os corações que batem fora do peito.",,07/05/2026,,,alta,Viviane,Finalizado,,
"2- O Fim da ""Guerra"" do Nariz Entupido",Video,Aline,Edição,,07/05/2026,,,Baixa,Viviane,Finalizado,,
3- Kit Soninho Tranquilo,Video,Aline,Edição,,07/05/2026,,,Baixa,Viviane,Finalizado,,
"4 - O ""Hack"" do Dentinho",Video,Aline,Edição,,07/05/2026,,,Baixa,Viviane,Finalizado,,
"5 - O ""Abraço de Mãe"" em Forma de Pelúcia",Video,Aline,Edição,,07/05/2026,,,Baixa,Viviane,Finalizado,,
Banner,Estático,HDG,"Banner 1,90 x 0,75 da marca",,07/05/2026,,,alta,Junior,Finalizado,,
Call,Operacional,Venturini,"🏥 Sobre a Cirurgia (Para o Reality dos 25 Dias)
Precisamos entender o nível de zoeira que podemos aplicar e as limitações reais dele.

Qual é exatamente a cirurgia? (Dá pra fazer piada com isso? É algo estético, no joelho, na garganta? Precisamos saber pra criar o tom das brincadeiras).

Quais são as limitações físicas REAIS nos primeiros 10 dias? (Ele vai poder sentar? Vai estar com curativo no rosto? Vai poder falar normal ou vai estar grogue de remédio?).

Onde vai ser o repouso? (No hospital por uns dias e depois em casa? Como é o quarto dele? Tem espaço pra gente posicionar um tripé ou alguém gravar ele?).

Quem vai ser o ""enfermeiro"" dele? (Mãe, namorada, irmão, amigo da banda? Essa pessoa pode virar um personagem coadjuvante nos vídeos, tipo a pessoa que não aguenta mais ele reclamando que quer voltar pro palco).

Ele tem alguma fobia ou frescura com hospital/remédio? (Se ele tem medo de agulha, odeia tomar comprimido, isso rende meme fácil).

📖 Sobre o ""De Onde Eu Vim"" (Para os 10 Vídeos de História)
Aqui a gente quer o suco do perrengue capixaba, da estrada e da superação. Peça pra ele ser bem descritivo.
6. Qual foi o pior cachê que você já recebeu na vida? (Cantar em troca de lanche, tocar pra ninguém, receber calote de contratante).
7. Qual foi o show mais desastroso que você já fez? (Aquela vez que a luz acabou no meio da música, o som queimou, choveu no palco, ou que só tinha 3 pessoas na plateia bebendo cerveja quente).
8. Conta um perrengue pesado de estrada. (A van quebrou no meio do nada? O pneu furou indo pra uma prefeitura no interior? Dormiram no chão do palco?).
9. Tem foto ou vídeo antigo e humilhante guardado? (Aquele primeiro violão, roupa de show cafona, ele cantando criança. Peça pra ele fuçar o rolo da câmera ou pedir pra mãe dele e mandar tudo pro WhatsApp da agência).
10. Qual foi o momento exato em que você disse ""Tudo só depende 100% de mim""? (Qual foi o gatilho? Alguém duvidou dele? Tomou um não de alguma produtora?).
11. Qual foi o primeiro show que você viu a galera cantando sua música ou vibrando muito? (Onde foi, como ele se sentiu. Esse é o momento de emoção do arco).

🎵 Sobre as 6 Músicas do Lançamento
Pra gente não fazer só vídeo de dancinha, precisamos de contexto pra criar ganchos virais.
12. Qual é a história real por trás de ""Vampiro"" e ""Você Me Libertou""? (Foi chifre dele? História de amigo? Precisamos de fofoca pra gerar identificação).
13. Qual das 6 músicas é a SUA favorita e por quê?
14. Quando a banda tocou o ""Medley Terremoto"" no ensaio a primeira vez, qual foi a reação? (Tem vídeo disso? Se não tem, precisamos forjar/gravar algo parecido antes dele internar).
15. Se você tivesse que descrever o clima do ""Só Botadão"" pra quem nunca ouviu, que cena de festa vem na sua cabeça?",,07/05/2026,,11:00:00,alta,Junior,Finalizado,,
contas de casa,Pessoal,Pessoal,falta o plano de saude,,07/05/2026,,,Baixa,Viviane,Finalizado,,
Criar Roteiros,Roteiro,Venturini,,,07/05/2026,,,alta,Junior,Finalizado,,
arrumar gaveta cozinha,Pessoal,Pessoal,,,11/05/2026,,,Baixa,Junior,Finalizado,,
arrumar porta cozinha,Pessoal,Pessoal,,,11/05/2026,,,Baixa,Junior,Finalizado,,
"CARROSSEL 05: O ""Segredo Sujo"" das Promoções do Concorrente
",carrossel,LTV,"Slide 1 (Ragebait): [Texto grande] O seu concorrente não está falindo com aquela promoção absurda. Ele só é mais inteligente que você. 
Slide 2: [Texto] Você olha pro concorrente e pensa: ""Não é possível, ele tá vendendo abaixo do preço de custo, ele vai falir!""
Slide 3: [Texto] Ele não está falindo. Ele simplesmente não compra mais a mercadoria de onde você compra.
Slide 4: [Texto] Ele está operando no modelo White Label. Achou uma fábrica na China, colocou a marca dele e importou pagando 1/3 do preço que você paga no atacadista.
Slide 5: [Texto] Quando ele dá 30% de desconto, ele não está cortando na carne, ele está apenas espremendo a sobra gigante da margem da importação direta.
Slide 6 (Último/CTA): [Texto] Cansado de tomar porrada no preço? A LTV estrutura a sua virada. Link na bio! 🛡️
Legenda: Você vê o cara dando 30% de desconto e acha que ele tá desesperado queimando estoque, né? Não tá. Ele simplesmente parou de comprar no Brasil, foi pra China, colocou a marca dele no produto (White Label) e derrubou o custo de aquisição lá pro chão. A promoção dele ainda dá mais lucro que a sua venda no preço cheio. Tá na hora de parar de apanhar da concorrência. Clica no link da bio que a gente desenha a sua importação ponta a ponta. 🛡️ 
",,11/05/2026,,,Baixa,Viviane,Finalizado,,
